T27,Gross domestic expenditure on research and development (R&D),,,,,
682,Saudi Arabia,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.0423,Based on R&D budget instead of R&D expenditure.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
682,Saudi Arabia,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.8840,Break in the time series.;Based on R&D budget instead of R&D expenditure.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
682,Saudi Arabia,2013,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.8152,Based on R&D budget instead of R&D expenditure.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
686,Senegal,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.4314,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
686,Senegal,2010,Gross domestic expenditure on R & D: Business enterprises (%),4.0956,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
686,Senegal,2010,Gross domestic expenditure on R & D: Government (%),47.6150,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
686,Senegal,2010,Gross domestic expenditure on R & D: Higher education (%),0.0332,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
686,Senegal,2010,Gross domestic expenditure on R & D: Private non-profit (%),3.2288,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
686,Senegal,2010,Gross domestic expenditure on R & D: Funds from abroad (%),40.5331,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
686,Senegal,2010,Gross domestic expenditure on R & D: Not distributed (%),4.4943,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
686,Senegal,2015,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.5772,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
686,Senegal,2015,Gross domestic expenditure on R & D: Business enterprises (%),2.0860,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
686,Senegal,2015,Gross domestic expenditure on R & D: Government (%),85.4425,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
686,Senegal,2015,Gross domestic expenditure on R & D: Higher education (%),0.0989,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
686,Senegal,2015,Gross domestic expenditure on R & D: Private non-profit (%),4.4841,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
686,Senegal,2015,Gross domestic expenditure on R & D: Funds from abroad (%),7.8885,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
688,Serbia,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.3953,"Do not correspond exactly to Frascati Manual recommendations.;Excluding data from some regions, provinces or states.","United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
688,Serbia,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.7023,"Excluding data from some regions, provinces or states.","United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
688,Serbia,2010,Gross domestic expenditure on R & D: Business enterprises (%),8.6205,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
688,Serbia,2010,Gross domestic expenditure on R & D: Government (%),59.4022,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
688,Serbia,2010,Gross domestic expenditure on R & D: Private non-profit (%),0.0437,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
688,Serbia,2010,Gross domestic expenditure on R & D: Funds from abroad (%),3.5762,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
688,Serbia,2015,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.8115,"Excluding data from some regions, provinces or states.","United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
688,Serbia,2015,Gross domestic expenditure on R & D: Business enterprises (%),12.7806,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
688,Serbia,2015,Gross domestic expenditure on R & D: Government (%),50.6290,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
688,Serbia,2015,Gross domestic expenditure on R & D: Private non-profit (%),0.0137,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
688,Serbia,2015,Gross domestic expenditure on R & D: Funds from abroad (%),12.5519,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
688,Serbia,2018,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.9213,"Excluding data from some regions, provinces or states.","United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
688,Serbia,2018,Gross domestic expenditure on R & D: Business enterprises (%),10.0241,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
688,Serbia,2018,Gross domestic expenditure on R & D: Government (%),43.1352,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
688,Serbia,2018,Gross domestic expenditure on R & D: Private non-profit (%),0.0275,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
688,Serbia,2018,Gross domestic expenditure on R & D: Funds from abroad (%),21.5602,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
690,Seychelles,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.3021,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
690,Seychelles,2016,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.2216,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
690,Seychelles,2016,Gross domestic expenditure on R & D: Business enterprises (%),1.9816,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
690,Seychelles,2016,Gross domestic expenditure on R & D: Government (%),56.0928,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
690,Seychelles,2016,Gross domestic expenditure on R & D: Private non-profit (%),3.2192,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
690,Seychelles,2016,Gross domestic expenditure on R & D: Funds from abroad (%),33.9469,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
690,Seychelles,2016,Gross domestic expenditure on R & D: Not distributed (%),0.2801,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
